No;outcome;treatment;confounders_1;confounders_2;confounders_3;true_effect
47;2.408258891;4.143060677;-0.402529653;2.388826732;1;2.286121354
48;3.64973481;4.874166902;-0.162836567;0.55008403;0;3.748333803
49;3.266325312;4.548326749;0.430612439;-1.044331039;0;3.096653499
50;4.283182912;5.255908037;0.801683328;-1.202535795;0;4.511816074
51;3.886416502;4.928365799;-0.779415106;0.682450432;1;3.856731597
52;5.633549837;5.908365605;0.217039209;0.414451092;0;5.816731211
53;2.432565921;3.968808238;-0.039999081;0.151754678;0;1.937616475
54;3.420046292;4.806582364;1.341127142;-1.124296791;1;3.613164729
55;3.016458744;5.104363055;-0.235763686;0.0973624;1;4.208726109
56;-0.774089936;3.182281746;-0.829394507;-1.11910426;0;0.364563491
57;5.019067015;5.524934655;-0.389417746;0.512875564;0;5.04986931
58;7.582499229;5.670689122;0.029158137;0.415728479;1;5.341378243
59;8.040092689;6.418380911;-0.112849068;-1.202620736;0;6.836761822
60;6.837714146;6.535068854;0.460371538;0.625803745;0;7.070137709
61;1.209020054;4.295229427;-0.010639602;1.576698071;1;2.590458854
62;7.234796294;6.42015165;2.001356839;-0.105835209;1;6.8403033
63;5.398611242;5.567786656;-1.346177049;-1.064992657;0;5.135573312
64;1.959744747;2.628481;-0.674516522;0.506182876;0;0
65;8.043102141;6.139670032;1.950326575;1.373567758;1;6.279340063
66;1.545129149;4.713514384;0.178494769;0.365437404;1;3.427028768
67;5.106210503;5.638108267;-0.668926024;2.144746654;1;5.276216534
68;3.168009792;4.055184682;-0.939910816;0.453714969;1;2.110369364
69;2.840834754;5.132461969;1.217419673;0.701695729;1;4.264923939
70;2.888260746;4.3605792;-1.38456012;-0.741139804;1;2.7211584
71;3.32378186;4.592993272;0.889463325;-0.62549483;0;3.185986544
72;2.711275492;4.327277812;-1.078061449;1.143984014;1;2.654555624
73;1.841518424;4.790536464;-0.839482374;0.369428489;0;3.581072928
74;7.989230293;6.822165472;1.28472724;0.874761864;1;7.644330944
75;2.216014449;4.351776046;0.490975347;0.792831681;0;2.703552092
76;5.623349489;5.981241169;1.773283598;-0.73218532;0;5.962482339
77;3.219179438;4.883485074;-0.984572552;-0.392208936;1;3.766970147
78;3.904708931;4.248226876;0.144385621;1.183489957;1;2.496453751
79;5.143193051;5.987085607;0.67768969;-1.200322552;0;5.974171214
80;3.603633151;4.200112836;1.276651833;0.04715664;1;2.400225672
81;1.938551228;4.596981282;-0.334159961;-1.691368201;0;3.193962564
82;8.979372933;6.536538503;0.763294669;-0.790478992;1;7.073077006
83;3.676331358;4.345512164;0.212999401;-0.573900788;0;2.691024328
84;2.819896054;5.406373534;0.593767663;1.06333337;0;4.812747067
85;1.953562965;4.217759413;-0.292014168;1.777972655;0;2.435518825
86;5.055879348;5.027836758;-0.271300958;-0.077420166;0;4.055673517
87;6.068613994;6.534095458;-0.947807454;0.283719936;1;7.068190915
88;5.759736242;5.20172552;0.926466699;-1.744932236;1;4.403451041
89;3.575377658;5.24490678;0.433535149;0.668240971;1;4.489813561
90;3.375890168;4.828024515;-0.683455563;-0.247464259;0;3.656049029
91;4.025586815;4.69432758;0.97601831;-0.695321728;0;3.388655159
92;8.327552033;6.843668081;0.585075407;0.471101319;0;7.687336163
93;-0.496763923;2.463948204;-1.782530859;0.889795008;1;0
94;4.364879597;4.936865337;1.18012324;0.645402113;1;3.873730673
95;6.693290307;6.092482713;1.880896854;-0.559963928;1;6.184965427
96;3.613148206;5.285461642;-0.353240924;0.035543235;1;4.570923284
97;5.071831761;5.589192568;-1.249483801;-1.669882288;0;5.178385137
98;3.469644139;5.130564935;0.02918545;1.597952657;1;4.261129871
99;6.796508305;6.072336235;-1.099274665;-0.83163462;0;6.144672469
100;1.812250279;4.353675704;-1.37439809;-1.004338446;0;2.707351409
101;3.956020598;4.920374261;-0.36416162;-1.428590221;1;3.840748523
102;2.730554709;4.073332681;0.532080888;0.339804736;0;2.146665363
103;5.433561169;5.432877731;-1.076087104;0.28685127;1;4.865755462
104;8.655677764;6.203411829;0.7263734;0.35595149;1;6.406823658
105;10.39554234;7.17695839;1.964059271;-0.612010867;0;8.35391678
106;3.775532531;5.365365102;0.496693632;1.349515429;0;4.730730204
107;5.76607906;5.627339915;1.859612773;1.150128957;0;5.254679829
108;4.545090934;4.512624421;-1.175031322;-1.429605312;0;3.025248841
109;4.388585008;4.585232991;0.130582012;0.631259067;1;3.170465983
110;3.743512857;4.492539438;-1.051133258;-0.127246244;1;2.985078876
111;7.86085978;5.652568653;0.392783803;-1.487289952;1;5.305137306
112;4.679127051;5.803720659;-0.712648177;0.913106448;1;5.607441319
113;7.96815765;7.465078861;-0.880654728;-0.46049611;1;8.930157722
114;3.872632314;5.138723712;-1.995475733;0.171218362;1;4.277447424
115;3.93935334;5.126387518;-0.846920264;0.548408548;1;4.252775036
116;2.84891385;4.269514978;-0.825212852;1.591057793;0;2.539029955
117;7.726670982;6.793824452;-0.075578453;-0.96423048;1;7.587648903
118;6.674255663;6.418748293;0.771604569;0.955074585;1;6.837496585
119;3.25844603;4.962258576;-0.456942332;-0.184445817;0;3.924517152
120;6.719627332;6.247377357;0.745456463;-1.200522491;0;6.494754714
121;2.922195183;4.048584809;-1.096634932;0.186273304;1;2.097169619
122;4.245322417;6.023522361;-0.421884664;-0.443641414;0;6.047044722
123;3.540552976;5.0422602;0.184443928;-0.224457804;1;4.0845204
124;1.985113773;4.57003268;-2.107081883;0.280810396;0;3.140065361
125;1.712190554;4.878975136;-0.386228148;0.930863575;0;3.757950273
126;0.400361522;3.700971442;-0.21662346;0.692167202;1;1.401942883
127;2.062196352;3.855367345;-0.866052447;0.774386223;0;1.710734691
128;0.316246512;3.418243959;-1.885964828;0.691981068;0;0.836487918
129;6.248686487;5.803031775;1.309958823;0.446981751;1;5.606063549
130;7.495456643;5.924430323;1.423372513;1.194305592;1;5.848860645
131;4.271966066;5.66017676;-0.089723536;1.815281944;1;5.32035352
132;7.650292012;6.208511777;1.98316346;0.666231302;0;6.417023554
133;5.975575575;5.903167785;-0.079393321;-1.26582349;1;5.80633557
134;5.813025521;5.584139933;0.012734073;-1.094250756;1;5.168279865
135;5.494350609;5.841437968;0.802707972;0.594849001;0;5.682875936
136;-0.059819263;3.69769886;0.199730012;2.798883866;0;1.39539772
137;1.980279165;4.483708735;0.495764535;3.607639708;0;2.967417471
138;4.90092528;5.717612382;-0.442033154;1.033706165;1;5.435224763
139;4.323029441;5.013551905;-0.989237509;-1.559858291;0;4.02710381
140;3.663543487;5.095187921;-0.846299028;-0.114945105;1;4.190375843
141;5.239638233;5.88224501;-0.104578204;-0.535018293;1;5.76449002
142;2.385172562;4.578481738;-1.037748638;0.28028769;0;3.156963476
143;4.33087851;4.761640131;-0.177434786;-0.415618283;0;3.523280263
144;8.587485677;6.19931648;2.578866034;-0.61655293;1;6.39863296
145;0.758300769;3.361730261;-0.393957589;0.475204956;0;0.723460523
146;5.142896439;5.44664045;-0.152297282;-0.648158068;0;4.893280901
147;3.665711048;4.220959863;1.166063255;0.304072801;1;2.441919726
148;3.470485863;4.709793754;-0.385892417;1.665246458;0;3.419587508
149;3.987820534;5.346373991;-0.927598915;-0.859039661;0;4.692747981
150;4.678973518;4.832242484;0.931182152;0.314074481;1;3.664484967
151;6.576008824;5.34511506;-0.394107536;0.23734114;1;4.69023012
152;1.426535452;3.884948721;-1.178135298;-0.397995014;1;1.769897442
153;6.041295031;5.481347707;1.228750635;-1.181829863;1;4.962695414
154;6.77107511;6.217299195;0.672409811;-1.058040037;0;6.43459839
155;8.515330735;6.562538192;0.920946578;-0.29748144;1;7.125076384
156;6.271497317;6.025466559;0.901010933;0.899977075;1;6.050933117
157;5.130576969;5.206090563;-0.034922275;-1.926018647;1;4.412181125
158;1.649927086;3.745677956;-1.649872931;0.580379704;1;1.491355912
159;4.977488844;5.181626246;1.204542161;0.736370473;1;4.363252493
160;8.067119265;6.308189819;-0.230395253;0.592560337;0;6.616379639
161;7.247001416;5.533212573;1.190942644;0.879993267;0;5.066425146
162;3.311954238;5.340374797;-0.521266322;-0.571484209;1;4.680749595
163;5.040769123;6.188683861;-0.212015702;-0.673247972;0;6.377367722
164;3.802481731;5.165729915;1.007175352;1.449667714;0;4.331459829
165;2.02195877;3.936784485;-0.824631738;1.217297733;1;1.873568971
166;6.421816684;5.90051643;0.092688075;-0.552933118;0;5.80103286
167;3.441127263;4.37212047;0.607754201;0.936008948;1;2.744240941
168;6.857768676;5.602681314;1.306264615;0.605996379;0;5.205362628
169;4.432563877;5.494168628;-0.985675671;-1.00653857;0;4.988337256
170;1.927950652;2.719403083;-0.408124006;1.56359714;0;0
171;7.005893897;6.791420553;-0.545911283;1.348569453;1;7.582841105
172;5.519302542;4.580494344;-0.75314498;-1.057063757;0;3.160988688
173;-2.813501678;2.957577804;-1.494640353;0.706773057;0;0
174;3.306122781;5.042862953;-0.51073286;-1.418443176;1;4.085725906
175;5.818135581;5.369933709;0.793639003;-1.898021472;0;4.739867418
176;3.48576826;4.941298525;0.086594912;0.821678494;0;3.882597051
177;-0.715555541;3.023316365;-0.567949035;1.572935436;1;0.04663273
178;6.908899115;6.666965928;-0.070178865;-2.090298854;1;7.333931857
179;2.916052762;4.795871394;0.144350919;0.727528608;1;3.591742788
180;-0.122177877;2.958641444;-1.479516932;0.332099496;1;0
181;3.415838447;4.818512962;1.39748579;1.509911314;0;3.637025923
182;6.317472094;6.436286474;-0.017835513;-1.481832819;0;6.872572948
183;0.487100814;3.111638866;-1.104941235;0.456640679;0;0.223277731
184;11.60717788;7.191725587;2.377354735;0.12794169;1;8.383451174
185;5.411070784;5.725993194;1.186842941;-0.390683644;1;5.451986387
186;3.228339;4.714356172;-0.646175316;0.991321758;1;3.428712345
187;6.789822385;6.319746137;-0.75816132;0.110205999;1;6.639492273
188;5.224672903;5.359850752;0.516724418;-0.982841537;0;4.719701504
189;4.731658328;4.768974314;-0.477085057;0.2882749;0;3.537948628
190;6.719320998;5.908339854;-0.129839718;-1.777268152;1;5.816679707
191;2.888630156;4.052680506;-0.844879018;-2.126213591;1;2.105361012
192;2.463476992;4.880996319;-1.171282895;-0.201353286;0;3.761992637
193;3.174770557;4.654761067;0.734519581;-1.143046645;0;3.309522134
194;7.288535406;6.27166703;1.567726529;-0.463758285;0;6.543334059
195;1.841106292;3.803465796;-1.66350186;-1.484553387;1;1.606931593
196;3.295831775;5.489719251;0.278365234;0.101303528;0;4.979438501
197;6.448256546;5.950299225;-1.227373241;-1.938263987;1;5.90059845
198;4.792416495;4.716599272;-1.255719848;-0.093028484;0;3.433198543
199;1.943995855;3.474305723;-1.399943713;-0.001762399;1;0.948611447
200;4.920058943;5.283244559;-0.05549517;-0.623568933;0;4.566489118
